planet_name,host_star,n_stars,n_planets,discovery_method,disc_year,disc_facility,orbital_period_days,planet_radius_earth,planet_mass_earth,equilibrium_temp_k,orbital_eccentricity,semi_major_axis_au,star_temp_k,star_radius_sun,star_mass_sun,star_age_gyr,star_surface_gravity,star_metallicity,dist_from_earth_pc,star_vmag,ra,dec,controversial_flag,planet_type,habitable_zone_flag,multi_planet_system,is_recent_discovery,dist_category,star_type,orbital_period_cat,radius_score,mass_score,distance_score,temp_score,star_age_score,star_radius_score,star_mass_score,total_score
Kepler-1178 b,Kepler-1178,1,1,Transit,2016.0,Kepler,31.80634,1.07,1.24,378.0,0.0,0.1596,4990.0,0.75,0.8,4.68,4.59,-0.05,482.287,14.212,288.4561183,45.8022258,0,Super-Earth,True,False,False,Mid(100-500pc),K-type,Medium(10-100d),0.9345794392523364,0.8064516129032259,0.5433601391001956,0.6746031746031745,0.9829059829059827,0.8,0.8333333333333334,0.79
Kepler-1417 b,Kepler-1417,1,1,Transit,2016.0,Kepler,20.3505213,1.0,0.972,695.0,0.0,0.14062,5839.0,1.02,1.02,4.07,4.43,0.02,991.845,14.038,290.9498966,40.605197,0,Super-Earth,False,False,False,Far(500-2kpc),G-type(Sun-like),Medium(10-100d),1.0,0.9727626459143969,0.5378136798287602,0.3669064748201439,0.8966861598440546,0.9803921568627451,0.9803921568627451,0.79
Kepler-1482 b,Kepler-1482,1,1,Transit,2016.0,Kepler,12.25383217,1.01,1.01,678.0,0.0,0.09968,5381.0,0.84,0.88,4.47,4.54,-0.04,567.556,13.967,285.3138209,48.72527,0,Super-Earth,False,False,False,Far(500-2kpc),G-type(Sun-like),Medium(10-100d),0.9900990099009901,0.9900990099009901,0.5262271617411804,0.37610619469026546,0.9725158562367865,0.8620689655172413,0.8928571428571428,0.78
Kepler-220 d,Kepler-220,1,4,Transit,2014.0,Kepler,28.122397,0.98,0.904,401.0,0.0,0.163,4632.0,0.666,0.729,6.0,4.652,-0.1738,171.109,13.049,291.5060432,46.8956262,0,Sub-Earth,False,True,False,Mid(100-500pc),K-type,Medium(10-100d),0.9803921568627451,0.9124087591240875,0.5443658138268916,0.6359102244389028,0.7666666666666666,0.7496251874062968,0.7867820613690009,0.78
TOI-700 e,TOI-700,1,4,Transit,2023.0,Transiting Exoplanet Survey Satellite (TESS),27.80978,0.953,0.818,272.9,0.059,0.134,3459.0,0.421,0.415,1.5,4.809,-0.07,31.1265,13.151,97.0957165,-65.5786149,0,Sub-Earth,True,True,True,Nearby(<100pc),M-type(Red Dwarf),Medium(10-100d),0.9551098376313275,0.8460236886632826,0.5359056806002144,0.934408208134848,0.5974025974025975,0.6333122229259025,0.6309148264984227,0.77
Kepler-438 b,Kepler-438,1,1,Transit,2015.0,Kepler,35.23319,1.12,1.46,288.0,0.03,0.166,3748.0,0.52,0.544,4.4,4.74,0.16,195.94287175,15.104,281.6457236,41.9510686,0,Super-Earth,True,False,False,Mid(100-500pc),K-type,Medium(10-100d),0.8928571428571428,0.684931506849315,0.5452562704471101,0.8854166666666666,0.9583333333333336,0.6756756756756757,0.6868131868131868,0.77
TOI-700 d,TOI-700,1,4,Transit,2020.0,Transiting Exoplanet Survey Satellite (TESS),37.42396,1.073,1.25,268.8,0.042,0.1633,3459.0,0.421,0.415,1.5,4.809,-0.07,31.1265,13.151,97.0957165,-65.5786149,0,Super-Earth,True,True,True,Nearby(<100pc),M-type(Red Dwarf),Medium(10-100d),0.9319664492078286,0.8,0.5444547285893178,0.9486607142857142,0.5974025974025975,0.6333122229259025,0.6309148264984227,0.77
Kepler-1464 c,Kepler-1464,1,2,Transit,2016.0,Kepler,5.32786292,1.0,0.972,1023.0,0.0,0.06101,5828.0,1.01,1.02,3.89,4.44,0.03,1151.73,14.358,287.2356828,38.7540824,0,Super-Earth,False,True,False,Far(500-2kpc),G-type(Sun-like),Short(1-10d),1.0,0.9727626459143969,0.51573241739256,0.24926686217008798,0.8662900188323918,0.9900990099009901,0.9803921568627451,0.77
Kepler-1328 b,Kepler-1328,1,1,Transit,2016.0,Kepler,4.52158888,0.98,0.904,1214.0,0.0,0.052,5780.0,0.99,1.0,4.57,4.44,0.0,813.543,13.969,284.6753857,44.4177225,0,Sub-Earth,False,False,False,Far(500-2kpc),G-type(Sun-like),Short(1-10d),0.9803921568627451,0.9124087591240875,0.513347022587269,0.2100494233937397,0.9935205183585315,0.9900990099009901,1.0,0.76
Kepler-1605 b,Kepler-1605,1,1,Transit,2016.0,Kepler,85.7565495,1.08,1.28,528.0,0.0,0.36567,5280.0,0.82,0.86,4.68,4.55,-0.01,546.23,12.592,287.1349405,47.4886251,0,Super-Earth,False,False,False,Far(500-2kpc),G-type(Sun-like),Medium(10-100d),0.9259259259259258,0.78125,0.611871531453256,0.4829545454545455,0.9829059829059827,0.8474576271186439,0.8771929824561403,0.76
